User,Tweets,Tweets_with_Emoji,Race
3385288000,1090,20,white
362703673,363,78,white
733772715438510080,2511,1364,black
2718990954,579,24,white
3536279235,1452,139,asian
882032406663843840,8,3,asian
608294026,51,7,asian
789120828864507904,142,25,asian
722892871502671872,170,9,white
908171121295597568,41,3,white
2200379845,3028,382,white
537687829,30,12,white
1055934217,549,252,black
23528241,83,4,asian
20905495,167,9,white
867337535768346625,33,18,asian
1066170625,494,130,white
828731359,339,34,white
4015576573,851,173,asian
782725406478794752,721,188,white
2366825861,978,175,black
1110453720,144,49,white
2588155605,65,18,white
18529095,126,1,white
1196994764,184,13,asian
1688361488,1638,898,black
150984165,463,10,white
205742999,248,35,hispanic
1689316100,2354,823,black
2616183793,350,32,hispanic
758177170799915009,74,16,white
4507492217,25,13,black
292092694,75,29,asian
764995146593214465,1286,161,white
123401682,779,359,white
2255446728,673,106,white
960483256251510784,896,164,asian
560117368,194,97,white
632430611,113,10,asian
772281011228905472,16,11,white
71750117,1865,36,white
141967556,218,103,white
964340931183988736,383,100,asian
35406170,768,70,white
540462449,1039,286,asian
965965498935660544,770,64,white
767262441801605120,439,25,asian
2291372905,139,32,white
4538206822,28,10,white
1936011516,155,102,black
14157064,1498,45,white
605931771,1,1,black
2975754781,12,1,hispanic
814479964867297280,75,25,white
2739331905,135,32,white
885215138848100352,714,714,asian
326035142,357,62,asian
2504972616,655,206,black
2777151203,1396,269,asian
515405009,65,8,white
712381823850930176,550,31,white
709988227495694336,2089,1348,asian
546915766,41,9,white
3003144456,88,18,asian
4238446492,98,66,black
2470646481,309,79,white
612311817,2034,461,black
426884417,356,23,white
4862419569,851,39,asian
951617760106250240,715,41,white
869201424189579265,293,44,asian
4110188259,1399,197,white
767001292518543362,461,4,asian
2330928405,85,63,white
2674595507,530,339,white
760621191195463680,1583,112,black
960904000022310912,22,12,asian
107033885,1412,133,white
928363264551063552,946,2,white
2192748972,51,9,white
930830978074980352,3072,2299,white
923413558330736640,23,15,asian
160352324,900,278,black
2564157871,20,3,white
290255819,394,135,black
399258585,1750,130,asian
1835245740,1281,47,asian
942667508393304065,1364,834,asian
964986857451917313,20,2,hispanic
606105133,32,8,white
730758505548800002,1856,110,black
30769365,1298,4,asian
910831937291522048,429,66,white
171512706,34,5,white
3391637404,550,202,white
1196399678,2689,22,asian
